id,state
CA001066885,BC
CA001066900,BC
CA001066JFQ,BC
CA001066K57,BC
CA001067005,BC
CA001067225,BC
CA001067740,BC
CA001067742,BC
CA001067745,BC
CA001067776,BC
CA001067868,BC
CA001067880,BC
CA001067881,BC
CA001068100,BC
CA001068130,BC
CA001068131,BC
CA001068134,BC
CA001068159,BC
CA001068170,BC
CA001068201,BC
CA001068250,BC
CA001068677,BC
CA00106C0C5,BC
CA00106CDL0,BC
CA00106D289,BC
CA00106H130,BC
CA00106Q669,BC
CA001070150,BC
CA001070154,BC
CA001070571,BC
CA001070572,BC
CA001070573,BC
CA001070873,BC
CA001071092,BC
CA001071785,BC
CA001072075,BC
CA001072692,BC
CA001072902,BC
CA001073040,BC
CA001073278,BC
CA001073347,BC
CA001073349,BC
CA00107335J,BC
CA001073612,BC
CA001073615,BC
CA001073616,BC
CA001073L4F,BC
CA001074276,BC
CA001074328,BC
CA001074330,BC
CA001074331,BC
CA001074336,BC
CA001074800,BC
CA001075199,BC
CA001075200,BC
CA001075202,BC
CA001075252,BC
CA001075253,BC
CA001075384,BC
CA001075520,BC
CA001076638,BC
CA001076886,BC
CA001077499,BC
CA001077500,BC
CA001077505,BC
CA001077508,BC
CA001078070,BC
CA001078072,BC
CA001078074,BC
CA001078080,BC
CA001078086,BC
CA001078209,BC
CA001078L3D,BC
CA00107ADFE,BC
CA00107G879,BC
CA00107GHG9,BC
CA00107P505,BC
CA001080283,BC
CA001080284,BC
CA001080285,BC
CA001080289,BC
CA001080430,BC
CA001080431,BC
CA001080432,BC
CA001080562,BC
CA001080870,BC
CA0010808G0,BC
CA001080930,BC
CA001080QQ0,BC
CA001081469,BC
CA001081788,BC
CA001082748,BC
CA001083157,BC
CA001083285,BC
CA001083344,BC
CA001084050,BC
CA001084349,BC
CA001084350,BC
CA001084351,BC
CA001084490,BC
CA001084731,BC
CA001085064,BC
CA001085208,BC
CA001085279,BC
CA001085280,BC
CA001085281,BC
CA001085373,BC
CA001085414,BC
CA001085415,BC
CA001085450,BC
CA001085598,BC
CA001085615,BC
CA001085835,BC
CA001085836,BC
CA001086082,BC
CA001086083,BC
CA001086090,BC
CA001086093,BC
CA001086098,BC
CA001086550,BC
CA001086555,BC
CA001086556,BC
CA001086558,BC
CA001086633,BC
CA001086695,BC
CA001087600,BC
CA001087950,BC
CA001087974,BC
CA001087998,BC
CA001088007,BC
CA001088009,BC
CA001088010,BC
CA001088015,BC
CA001088293,BC
CA001088970,BC
CA00108CFAF,BC
CA001090300,BC
CA001090335,BC
CA001090586,BC
CA001090660,BC
CA001090904,BC
CA001090989,BC
CA001090990,BC
CA001090R0R,BC
CA001091169,BC
CA001091170,BC
CA001091174,BC
CA001091175,BC
CA001091235,BC
CA001091305,BC
CA001091512,BC
CA001092120,BC
CA001092489,BC
CA001092490,BC
CA001092519,BC
CA001092520,BC
CA001092578,BC
CA001092579,BC
CA001092676,BC
CA001092678,BC
CA001092685,BC
CA001092904,BC
CA001092905,BC
CA001092970,BC
CA001092972,BC
CA001093052,BC
CA001093165,BC
CA001093474,BC
CA001093475,BC
CA001093599,BC
CA001093600,BC
CA001093680,BC
CA001093730,BC
CA001093777,BC
CA001093920,BC
CA001094125,BC
CA001094127,BC
CA001094455,BC
CA001094456,BC
CA001094457,BC
CA001094602,BC
CA001094616,BC
CA001094719,BC
CA001094785,BC
CA001094897,BC
CA001094948,BC
CA001094950,BC
CA001094955,BC
CA001094962,BC
CA001095000,BC
CA001095015,BC
CA001095018,BC
CA001095195,BC
CA0010952B9,BC
CA001095410,BC
CA001095412,BC
CA001095617,BC
CA001095676,BC
CA001095740,BC
CA001095790,BC
CA001095796,BC
CA001095820,BC
CA001095821,BC
CA001096435,BC
CA001096436,BC
CA001096439,BC
CA001096450,BC
CA001096453,BC
CA001096455,BC
CA001096458,BC
CA001096460,BC
CA001096465,BC
CA001096468,BC
CA001096470,BC
CA001096600,BC
CA001096601,BC
CA001096625,BC
CA001096629,BC
CA001096630,BC
CA001096631,BC
CA001096635,BC
CA001096636,BC
CA001096660,BC
CA001096665,BC
CA001096775,BC
CA001096952,BC
CA001097370,BC
CA001097550,BC
CA001097646,BC
CA001097750,BC
CA001097888,BC
CA001097970,BC
CA001098138,BC
CA001098318,BC
CA001098328,BC
CA001098335,BC
CA001098490,BC
CA001098492,BC
CA0010984R0,BC
CA001098939,BC
CA001098940,BC
CA001098941,BC
CA001098942,BC
CA001098943,BC
CA001098946,BC
CA001098954,BC
CA001098955,BC
CA001098977,BC
CA001098D90,BC
CA001098DR0,BC
CA00109A4NG,BC
CA00109AMEP,BC
CA00109C0L6,BC
CA00109C0LF,BC
CA00109CN9G,BC
CA00109E7R6,BC
CA00109G775,BC
CA00109H9M2,BC
CA00109Q9MK,BC
CA00109QJ3G,BC
CA00109QR57,BC
CA001100001,BC
CA001100004,BC
CA001100015,BC
CA001100030,BC
CA001100031,BC
CA001100035,BC
CA001100037,BC
CA001100040,BC
CA001100119,BC
CA001100120,BC
CA001100130,BC
CA001100240,BC
CA001100241,BC
CA001100245,BC
CA001100360,BC
CA001100370,BC
CA001100440,BC
CA001100875,BC
CA001100879,BC
CA001100881,BC
CA001100882,BC
CA001100883,BC
CA001100KM0,BC
CA001100Q7Q,BC
CA001101138,BC
CA001101140,BC
CA001101142,BC
CA001101144,BC
CA001101146,BC
CA001101147,BC
CA001101150,BC
CA001101151,BC
CA001101153,BC
CA001101154,BC
CA001101155,BC
CA001101158,BC
CA001101160,BC
CA001101166,BC
CA0011011MF,BC
CA0011011N0,BC
CA001101200,BC
CA001101300,BC
CA001101310,BC
CA001101313,BC
CA001101318,BC
CA001101320,BC
CA001101530,BC
CA001101540,BC
CA001101545,BC
CA001101561,BC
CA001101564,BC
CA001101565,BC
CA001101567,BC
CA001101577,BC
CA001101580,BC
CA001101680,BC
CA001101707,BC
CA001101708,BC
CA001101709,BC
CA001101888,BC
CA001101889,BC
CA00110188H,BC
CA001101890,BC
CA001101891,BC
CA001101N65,BC
CA001101Q9A,BC
CA001101QRJ,BC
CA001102220,BC
CA001102222,BC
CA001102252,BC
CA001102253,BC
CA001102254,BC
CA001102255,BC
CA001102256,BC
CA001102410,BC
CA001102415,BC
CA001102416,BC
CA001102417,BC
CA001102419,BC
CA001102420,BC
CA001102422,BC
CA001102424,BC
CA001102425,BC
CA001102465,BC
CA001102650,BC
CA001102725,BC
CA001102910,BC
CA001102912,BC
CA001102F3H,BC
CA001103322,BC
CA001103324,BC
CA001103326,BC
CA001103327,BC
CA001103332,BC
CA001103333,BC
CA001103334,BC
CA001103342,BC
CA001103440,BC
CA001103510,BC
CA00110361F,BC
CA001103635,BC
CA001103636,BC
CA001103647,BC
CA001103648,BC
